stem,suffix,label,stem_filename,file,filepath,image_size,image_location,audio_files
bal,dan,baldan,1,1_2.PNG,stems_all/1_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/baldan.wav
berko,dan,berkodan,2,2_2.PNG,stems_all/2_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/berkodan.wav
kora,dan,koradan,3,3_2.PNG,stems_all/3_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/koradan.wav
nako,dan,nakodan,4,4_2.PNG,stems_all/4_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/nakodan.wav
pipa,dan,pipadan,5,5_2.PNG,stems_all/5_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/pipadan.wav
bani,dan,banidan,6,6_2.PNG,stems_all/6_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/banidan.wav
chool,dan,chooldan,7,7_2.PNG,stems_all/7_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/chooldan.wav
kudom,dan,kudomdan,8,8_2.PNG,stems_all/8_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/kudomdan.wav
osto,dan,ostodan,9,9_2.PNG,stems_all/9_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/ostodan.wav
vorke,dan,vorkedan,10,10_2.PNG,stems_all/10_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/vorkedan.wav
bin,dan,bindan,11,11_2.PNG,stems_all/11_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/bindan.wav
mero,dan,merodan,12,12_2.PNG,stems_all/12_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/merodan.wav
bal,nem,balnem,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/balnem.wav
bal,nem,balnem,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/balnem.wav
bal,nem,balnem,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/balnem.wav
bal,nem,balnem,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/balnem.wav
berko,nem,berkonem,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/berkonem.wav
berko,nem,berkonem,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/berkonem.wav
berko,nem,berkonem,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/berkonem.wav
berko,nem,berkonem,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/berkonem.wav
kora,nem,koranem,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/koranem.wav
kora,nem,koranem,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/koranem.wav
kora,nem,koranem,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/koranem.wav
kora,nem,koranem,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/koranem.wav
bal,sil,balsil,1,1_2.PNG,stems_all/1_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/balsil.wav
berko,sil,berkosil,2,2_2.PNG,stems_all/2_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/berkosil.wav
kora,sil,korasil,3,3_2.PNG,stems_all/3_2.PNG,"[0.35, 0.35]","[-0.2, -0.18]",zara_audio_files/korasil.wav
bal,shoon,balshoon,1,1_dim_sg.PNG,stems_all/1_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/balshoon.wav
berko,shoon,berkoshoon,2,2_dim_sg.PNG,stems_all/2_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/berkoshoon.wav
kora,shoon,korashoon,3,3_dim_sg.PNG,stems_all/3_dim_sg.PNG,"[0.20, 0.20]","[0.2,0.22]",zara_audio_files/korashoon.wav
bal,none,bal,1,1.PNG,stems_all/1.PNG,"[0.35, 0.35]","[-0.2,0.22]",zara_audio_files/bal.wav
berko,none,berko,2,2.PNG,stems_all/2.PNG,"[0.35, 0.35]","[-0.2,0.22]",zara_audio_files/berko.wav
kora,none,kora,3,3.PNG,stems_all/3.PNG,"[0.35, 0.35]","[-0.2,0.22]",zara_audio_files/kora.wav
