source,participant,subj_values,Model,Meaning,Task,Condition,Stem
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,10491,0.16666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,39146,0.16666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,49522,0.16666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,64196,0.8333333333333334,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,66002,0,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,112108,0.6666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,145601,0.6666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,183053,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,237233,0.5,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,275912,0.6666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,308566,0.6666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
novel_meaning_2afc_data_cond1_familiar_stem_subj_means,337780,0.6666666666666666,novel_meaning_2afc_data_cond1_familiar_stem_subj_means,novel,2afc,cond1,familiar
